Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
10.18,0.6804,2.5452,1.3674,13.5262,15.6204,-4.8752
11.77,0.3553,2.7397,1.9553,-45.2495,-76.5609,-94.8545
5.294,0.6488,2.1378,1.3789,-51.9654,24.5661,-55.6974
3.33,0.116,2.5945,1.5213,-89.5669,47.092,-25.5459
10.73,0.6851,1.8719,1.3235,35.2922,-0.9536,55.5904
6.792999999999999,0.531,2.8509,1.5773,-41.3984,-48.7798,-71.4673
6.127999999999999,0.5912,2.7533,1.3001,6.733,59.2707,-31.746
10.37,0.6251,1.9921,1.4445,-98.9052,-52.5973,-1.0391
11.44,0.0769,2.2234,1.5746,77.5411,-23.4337,-66.8829
5.26,0.5217,2.2639,1.3063,53.9488,125.1084,-52.308
5.819,0.494,1.6313,1.3285,-30.8684,-19.0452,8.034
5.795,0.4428,1.6212,1.3182,-52.2556,-10.4708,46.9262
10.62,0.5766,2.4822,1.4844,-40.1182,-9.5735,6.5508
24.57,0.9006,2.7087,1.8616,67.8213,-40.7133,76.7488
11.32,0.6698,1.983,1.4206,-0.5066,10.6175,110.5274
9.441,0.7246,2.6692,1.4584,-37.9223,8.835,46.4953
7.122000000000001,0.5895,2.5547,1.4405,0.3676,-61.7099,-44.1477
6.8020000000000005,0.4505,2.3334,1.5556,97.2797,121.1452,17.1542
4.868,0.307,1.6318,1.334,178.0723,-11.8556,23.498
16.21,0.8378,2.0552,1.5822,12.8167,89.4777,88.8346
9.122,0.7268,2.7034,1.5686,-34.2464,-42.9605,11.2704
7.372999999999999,0.6565,2.664,1.5079,48.8472,59.3271,74.1188
12.73,0.8012,1.9078,1.4272,-64.7115,-64.9027,-62.2365
6.551,0.5601,2.501,1.4402,-24.8492,59.8737,-24.1052
5.085,0.4104,2.3445,1.3796,69.0045,25.4631,30.9922
10.68,0.294,1.7116,1.7017,177.6148,180.5353,51.5817
6.129,0.2554,2.3079,1.4226,6.4746,24.9825,-68.8359
6.184,0.5622,2.7072,1.4877,16.632,78.295,-68.2649
5.19,0.5892,1.984,1.369,6.6209,-22.6701,-58.035
8.386000000000001,0.7599,2.1683,1.508,-141.8609,-29.4032,-18.5339
18.15,0.8906,2.013,1.3694,-31.8723,29.0877,-97.0227
6.147,0.2638,2.2907,1.4449,54.5334,-3.1546,-48.3958
10.0,0.6295,2.7805,1.3843,3.001,32.8291,25.1175
4.144,0.0745,1.6144,1.3279,-99.6696,51.7128,-22.7628
2.717,0.3541,1.7108,1.3325,-48.2038,-5.5072,55.9242
12.02,0.7312,2.494,1.4425,19.2695,33.1315,-60.7333
6.587000000000001,0.3383,2.5309,1.512,-67.2534,6.2906,-29.8016
5.962000000000001,0.2928,2.2819,1.4318,-64.4078,1.6921,-51.0549
11.36,0.7362,2.5192,1.4982,-107.7025,192.64,191.3924
3.657,0.2436,2.3377,1.4049,-40.0835,9.405,28.7099
5.398,0.4375,2.5427,1.4405,-8.6076,14.1299,-39.9229
10.19,0.6168,2.1232,1.4464,52.617,-105.1142,91.6871
5.46,0.4655,2.3952,1.5436,83.4905,-58.6621,-101.2984
10.22,0.7654,1.716,1.3377,92.4776,81.2768,-30.6704
13.64,0.6934,2.5681,1.6774,11.088,141.1186,-42.603
6.496,0.5361,2.5407,1.4404,-54.2251,12.7128,28.3172
13.3,0.7597,2.9318,1.6616,180.9619,-165.3055,173.532
37.13,0.9602,1.7843,1.5095,-107.5867,-29.2531,-93.0988
7.001,0.676,2.0022,1.3726,-23.0629,-22.0825,19.5979
10.96,0.3317,2.2999,1.5009,-70.6228,56.5818,53.1748
8.745,0.4867,2.4852,1.6171,121.2565,-30.922,0.1561
10.99,0.6091,2.5638,1.4679,30.0411,-58.6637,-4.7703
6.894,0.3902,2.679,1.5253,53.5202,-16.7602,-12.9012
3.661,0.355,2.1417,1.3738,23.9073,40.2494,22.3411
5.733,0.2895,2.2977,1.5006,131.9565,-239.7722,16.0045
2.3819999999999997,0.2497,1.6478,1.3201,-87.3706,98.4263,-4.3491
4.7669999999999995,0.1936,1.7576,1.377,-181.0519,142.0743,-162.0353
3.9360000000000004,0.2493,2.5466,1.4416,60.9303,47.3803,23.1575
4.723,0.3233,2.218,1.3794,60.7019,23.218,-37.1152
9.542,0.3336,2.794,1.6809,-215.1241,295.9845,132.3818
6.32,0.2078,2.3727,1.4349,-75.1959,-3.5902,-18.7158
14.99,0.8139,2.6105,1.4819,12.8553,5.0448,-49.6616
2.6830000000000003,0.358,2.6954,1.4561,-36.9156,59.6346,-68.2189
10.21,0.5159,2.2663,1.434,32.4153,-19.8868,14.849
8.503,0.5416,2.8229,1.6755,-67.7386,127.7083,29.1923
7.678,0.2269,2.6065,1.7954,113.5787,69.1012,99.946
5.206,0.2498,2.4345,1.4445,23.6684,60.0901,55.405
3.0180000000000002,0.3105,2.0511,1.3787,30.5597,98.7117,-15.5677
5.676,0.6121,1.9992,1.3805,128.9115,315.7401,110.8635
3.5239999999999996,0.4369,2.0076,1.3721,-78.395,44.7862,-8.8528
13.51,0.7273,2.5231,1.7127,-121.2894,113.7896,-15.8888
7.811,0.1626,2.3876,1.5706,113.3168,-19.1526,-1.9545
4.984,0.4055,2.6473,1.3122,73.8865,-18.3092,26.1259
8.224,0.1796,2.323,1.4983,73.4106,73.0039,62.5297
16.35,0.8767,2.1373,1.6077,15.1009,131.721,-9.8659
8.111,0.5823,2.9613,1.8376,-137.5151,-113.0998,-47.2794
5.5729999999999995,0.3217,2.6194,1.6764,154.6031,-23.7506,2.1187
