Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
10.18,0.6804,2.5452,1.3674,13.5262,15.6204,-4.8752
11.77,0.3553,2.7397,1.9553,-45.2495,-76.5609,-94.8545
10.73,0.6851,1.8719,1.3235,35.2922,-0.9536,55.5904
5.723,0.4063,2.3997,1.4247,4.9366,-61.6235,0.0376
4.909,0.7102,2.7404,1.4326,-60.3439,-90.7014,98.0733
6.127999999999999,0.5912,2.7533,1.3001,6.733,59.2707,-31.746
3.159,0.2127,1.6725,1.3465,-31.0743,-313.1479,-179.4084
10.37,0.6251,1.9921,1.4445,-98.9052,-52.5973,-1.0391
11.44,0.0769,2.2234,1.5746,77.5411,-23.4337,-66.8829
3.4130000000000003,0.1777,2.5051,1.3096,10.6138,21.0561,-32.6716
5.132000000000001,0.554,2.9044,1.3606,-16.9769,-44.3659,-2.1189
3.355,0.4199,2.1196,1.3326,-31.7646,2.0193,-20.6668
5.819,0.494,1.6313,1.3285,-30.8684,-19.0452,8.034
5.795,0.4428,1.6212,1.3182,-52.2556,-10.4708,46.9262
10.62,0.5766,2.4822,1.4844,-40.1182,-9.5735,6.5508
11.32,0.6698,1.983,1.4206,-0.5066,10.6175,110.5274
7.122000000000001,0.5895,2.5547,1.4405,0.3676,-61.7099,-44.1477
6.8020000000000005,0.4505,2.3334,1.5556,97.2797,121.1452,17.1542
9.122,0.7268,2.7034,1.5686,-34.2464,-42.9605,11.2704
7.131,0.54,2.9081,1.9335,101.5539,-163.3246,-137.1799
5.406000000000001,0.3772,1.8361,1.3865,-58.3344,-1.6843,-24.1569
6.551,0.5601,2.501,1.4402,-24.8492,59.8737,-24.1052
8.008,0.638,2.5893,1.3819,-2.7841,-46.0876,-15.0598
5.085,0.4104,2.3445,1.3796,69.0045,25.4631,30.9922
10.68,0.294,1.7116,1.7017,177.6148,180.5353,51.5817
6.129,0.2554,2.3079,1.4226,6.4746,24.9825,-68.8359
4.021,0.3747,2.5139,1.3754,-41.2674,-102.5972,-10.7662
5.19,0.5892,1.984,1.369,6.6209,-22.6701,-58.035
6.147,0.2638,2.2907,1.4449,54.5334,-3.1546,-48.3958
10.0,0.6295,2.7805,1.3843,3.001,32.8291,25.1175
4.144,0.0745,1.6144,1.3279,-99.6696,51.7128,-22.7628
4.128,0.5322,2.7319,1.4886,-9.3685,71.9302,-18.9197
12.02,0.7312,2.494,1.4425,19.2695,33.1315,-60.7333
6.587000000000001,0.3383,2.5309,1.512,-67.2534,6.2906,-29.8016
5.962000000000001,0.2928,2.2819,1.4318,-64.4078,1.6921,-51.0549
11.36,0.7362,2.5192,1.4982,-107.7025,192.64,191.3924
5.398,0.4375,2.5427,1.4405,-8.6076,14.1299,-39.9229
10.19,0.6168,2.1232,1.4464,52.617,-105.1142,91.6871
10.22,0.7654,1.716,1.3377,92.4776,81.2768,-30.6704
13.64,0.6934,2.5681,1.6774,11.088,141.1186,-42.603
13.3,0.7597,2.9318,1.6616,180.9619,-165.3055,173.532
4.511,0.4713,2.3844,1.4474,130.0431,-36.9984,2.3764
4.548,0.2149,2.6231,1.5593,-55.7553,-85.9831,-26.7448
10.96,0.3317,2.2999,1.5009,-70.6228,56.5818,53.1748
3.702,0.2616,2.864,1.382,9.4464,80.0728,28.1678
8.745,0.4867,2.4852,1.6171,121.2565,-30.922,0.1561
10.99,0.6091,2.5638,1.4679,30.0411,-58.6637,-4.7703
6.894,0.3902,2.679,1.5253,53.5202,-16.7602,-12.9012
3.661,0.355,2.1417,1.3738,23.9073,40.2494,22.3411
5.733,0.2895,2.2977,1.5006,131.9565,-239.7722,16.0045
4.723,0.3233,2.218,1.3794,60.7019,23.218,-37.1152
16.24,0.896,1.4538,1.4196,-60.5907,-128.9788,21.4864
15.77,0.8819,2.1543,1.5623,-122.2029,34.6431,-40.7965
9.542,0.3336,2.794,1.6809,-215.1241,295.9845,132.3818
6.32,0.2078,2.3727,1.4349,-75.1959,-3.5902,-18.7158
14.99,0.8139,2.6105,1.4819,12.8553,5.0448,-49.6616
10.21,0.5159,2.2663,1.434,32.4153,-19.8868,14.849
8.503,0.5416,2.8229,1.6755,-67.7386,127.7083,29.1923
3.01,0.215,2.5328,1.4416,-76.1702,52.701,-63.3343
2.843,0.5131,2.7543,1.4353,95.2232,4.8613,12.0873
7.678,0.2269,2.6065,1.7954,113.5787,69.1012,99.946
8.526,0.601,2.8676,1.7161,-46.4233,79.6696,-142.4971
5.212000000000001,0.4061,2.8453,1.7214,-96.2361,32.6156,153.11
3.5239999999999996,0.4369,2.0076,1.3721,-78.395,44.7862,-8.8528
13.51,0.7273,2.5231,1.7127,-121.2894,113.7896,-15.8888
5.349,0.228,2.4872,1.5061,-80.3127,-66.7805,21.2504
7.811,0.1626,2.3876,1.5706,113.3168,-19.1526,-1.9545
4.984,0.4055,2.6473,1.3122,73.8865,-18.3092,26.1259
8.224,0.1796,2.323,1.4983,73.4106,73.0039,62.5297
16.35,0.8767,2.1373,1.6077,15.1009,131.721,-9.8659
5.5729999999999995,0.3217,2.6194,1.6764,154.6031,-23.7506,2.1187
8.42,0.26,2.7804,1.8251,168.8757,-125.4208,-56.3542
10.06,0.6906,2.8219,1.5873,31.1473,39.3258,57.7421
7.042000000000001,0.3771,2.7035,1.6828,-90.6537,-73.319,-137.2708
6.312,0.4168,2.2825,1.4269,46.0016,-48.7706,61.1097
9.854,0.3407,2.1753,1.4582,112.26,21.8166,7.2799
9.4,0.3275,2.3017,1.4469,37.2889,2.9851,29.5437
