#a/Rsun e m1/Msun m2/Msun vx/kms vy/kms vz/kms
1.876 0.1659 2.7778 1.4430 -79.8687 10.7858 78.3238
0.7233 0.1382 2.9080 1.3574 36.6002 -71.6828 37.6588
0.2231 0.6803 2.5803 1.3006 397.2449 -37.9407 266.7828
293.5 0.7542 1.9025 1.8198 -28.1788 -16.3328 -34.5897
0.248 0.0808 2.7584 1.3064 33.5605 3.9188 41.1689
3.804 0.6129 1.6536 1.3456 -136.1426 -76.1544 -42.8967
11.11 0.9725 2.3128 1.3232 -109.0960 85.2641 345.1281
271.3 0.1455 2.1244 2.2706 22.9421 -21.7082 11.8316
1.65 0.5506 1.9813 1.3668 75.2223 -120.6617 414.3130
13.8 0.5360 2.1184 1.6035 21.9690 122.3406 0.3913
0.5121 0.8245 2.7539 1.3456 -134.0320 -328.5862 152.1752
10.18 0.6804 2.5452 1.3674 13.5262 15.6204 -4.8752
23.94 0.1972 2.0651 1.5426 -49.1489 -2.7414 71.9813
0.8157 0.1051 2.1747 1.3538 -52.5734 -74.7737 -26.5491
28.11 0.3767 1.9848 1.4955 1.8900 -44.4136 105.7011
3.428 0.0738 1.7509 1.3560 13.0489 0.3791 27.1476
18.49 0.2439 2.0250 1.4248 -25.0034 -6.7713 -73.0521
1.7 0.5470 2.7262 1.4315 -51.9523 346.9735 487.9861
394.2 0.9950 2.4266 1.4444 177.9378 165.7069 -114.4812
0.8933 0.3713 2.3024 1.3673 69.6761 -4.4315 1.2504
0.2659 0.1368 2.6171 1.3546 -122.3785 -74.0317 9.2472
3.058 0.0891 2.8130 1.6353 -37.6335 46.8905 123.4130
11.77 0.3553 2.7397 1.9553 -45.2495 -76.5609 -94.8545
5.294 0.6488 2.1378 1.3789 -51.9654 24.5661 -55.6974
1.87 0.2083 2.0088 1.3698 13.4083 -94.0957 -24.3883
3.33 0.1160 2.5945 1.5213 -89.5669 47.0920 -25.5459
10.73 0.6851 1.8719 1.3235 35.2922 -0.9536 55.5904
263.4 0.9503 1.9966 1.6011 -53.0317 -84.7647 -32.3940
1.331 0.4309 1.7372 1.3335 73.0652 -178.4730 -25.0310
38.06 0.7834 2.9767 2.0263 -47.3946 85.8427 70.0499
5.723 0.4063 2.3997 1.4247 4.9366 -61.6235 0.0376
3.259 0.8964 2.4263 1.3758 -142.9538 148.1007 175.4711
0.1256 0.1076 1.3410 1.3009 83.8626 -8.9431 -110.1223
0.1633 0.2727 1.4575 1.4091 -242.7486 305.3777 195.6148
3.498 0.2400 2.6588 1.4855 -34.2049 -81.9246 -12.8892
1.993 0.1958 1.9959 1.3808 21.7386 -28.6705 100.8595
0.8822 0.0737 2.8023 1.3347 17.6742 22.3473 -44.3398
5.057 0.0863 2.5118 1.4642 9.2166 -79.5672 49.2763
2.622 0.2956 2.4453 1.3784 59.3303 40.2681 -13.0062
377.8 0.8230 1.8159 1.7724 -6.3295 5.3999 66.7827
31.45 0.2987 1.5333 1.5056 -24.4119 91.6285 27.1508
12 0.9177 1.9408 1.4386 -140.7911 54.7546 5.7410
22.01 0.5784 1.9939 1.4288 42.3885 -41.5076 -86.5984
56.13 0.7544 2.0198 1.5343 -35.7513 -83.9728 38.7908
6.793 0.5310 2.8509 1.5773 -41.3984 -48.7798 -71.4673
4.909 0.7102 2.7404 1.4326 -60.3439 -90.7014 98.0733
39.06 0.5556 1.9408 1.4241 -28.2606 -41.5520 -51.1317
0.9355 0.2762 2.7093 1.3461 -24.6021 -43.9478 -252.6089
17.39 0.5756 1.9899 1.4643 -62.6261 58.0383 32.5725
105.8 0.7706 1.9838 1.4620 55.1786 9.4667 -11.2569
3.462 0.2790 1.6765 1.3315 -4.4538 -91.4304 20.5232
72.49 0.9553 2.8567 1.7363 -138.6302 80.8175 -21.7037
6.128 0.5912 2.7533 1.3001 6.7330 59.2707 -31.7460
21.95 0.7251 1.9788 1.4819 39.0486 -20.3296 -91.4742
55.13 0.5626 1.9633 1.4814 36.3391 -21.8328 55.5625
2.305 0.6472 2.1083 1.4913 -44.1404 -131.7201 -1.6020
77.08 0.7561 1.9290 1.4323 -70.5616 -4.1040 22.8296
3.159 0.2127 1.6725 1.3465 -31.0743 -313.1479 -179.4084
4.357 0.4839 2.5673 1.4223 38.1897 -11.3009 4.8385
2.034 0.2967 2.6054 1.4383 -236.1041 -137.3290 -34.1289
10.37 0.6251 1.9921 1.4445 -98.9052 -52.5973 -1.0391
11.44 0.0769 2.2234 1.5746 77.5411 -23.4337 -66.8829
16.46 0.9977 2.0379 1.6069 -2.9297 1.9033 -138.3210
3.413 0.1777 2.5051 1.3096 10.6138 21.0561 -32.6716
1.813 0.3239 2.5984 1.3197 -38.4926 -115.6132 52.3789
26.33 0.5082 2.1319 1.7906 -34.6888 23.9174 -80.3060
1.484 0.6026 1.7132 1.4632 439.6647 263.7313 -141.0299
39.35 0.7376 2.0895 1.4461 0.7617 0.4870 85.6236
108.2 0.8943 2.0262 1.4956 -70.4713 1.2718 -66.3280
196.5 0.8324 2.1646 1.4824 75.7536 28.1063 40.6493
63.81 0.5067 2.0693 1.7070 32.3338 6.7228 39.1443
1.994 0.9003 1.5788 1.3146 185.1835 -224.4172 -323.7245
36.44 0.6265 2.1099 1.7847 61.1713 18.3537 -115.2376
19.57 0.3013 1.9890 1.4855 51.5973 -72.6603 54.0817
3.668 0.4705 2.0145 1.3714 -76.6450 49.7302 -50.2552
0.2374 0.3227 1.3784 1.3176 -127.2384 312.7228 -311.0599
2.93 0.4361 2.3710 1.4289 85.7652 10.8605 -22.5517
16.84 0.9348 1.9626 1.4654 62.8854 -58.3125 88.2684
5.132 0.5540 2.9044 1.3606 -16.9769 -44.3659 -2.1189
2.553 0.6508 2.2292 1.3202 -2.5916 19.0334 107.6561
7.308 0.8724 2.1064 1.3802 -8.9689 -38.9847 -315.2567
1.047 0.5859 2.5026 1.3962 -333.1967 -155.5490 9.7698
37.26 0.7626 2.5262 1.6898 60.0590 63.1056 -69.9262
5.332 0.6158 2.5496 1.4276 -64.4363 1.0029 -26.3822
687.3 0.9810 2.1546 1.6066 -28.4600 71.7296 80.5860
334.6 0.9061 2.4316 1.8363 -24.3616 38.1707 52.0907
1.523 0.3321 2.1885 1.3743 53.9305 -55.6850 -23.1018
19.07 0.8457 2.3149 1.4301 64.9062 -115.4872 66.6448
79.61 0.8076 1.9157 1.4228 -57.2044 -18.6301 -35.6500
1.467 0.1636 1.7896 1.5158 294.1924 -10.8907 127.3801
436 0.9937 2.7966 1.6506 16.2744 -41.4312 23.6313
19.7 0.5232 1.9912 1.5408 120.9549 88.4538 -104.9658
5.26 0.5217 2.2639 1.3063 53.9488 125.1084 -52.3080
0.4534 0.2187 2.8810 1.3305 24.3230 -2.3155 -19.1002
114.1 0.4430 1.8752 1.6168 -32.3949 16.0510 -79.9257
0.4462 0.6098 1.3721 1.3549 210.9092 80.0399 282.0945
4.931 0.6862 1.6080 1.3258 -66.5107 74.4324 46.9153
2.354 0.2266 2.9939 1.5936 97.1142 78.2270 -67.5899
40.13 0.7052 2.4575 1.6322 40.5587 -42.5079 51.9368
2.462 0.1748 1.6347 1.3227 4.8010 -0.9463 102.2508
16.22 0.6237 1.9546 1.5336 83.5230 -52.0330 24.0795
3.651 0.6303 2.7308 1.4324 -188.5640 -235.1209 -178.6207
155.8 0.5517 1.6568 1.4164 -25.3003 -13.4703 62.9219
0.3639 0.2262 2.4872 1.3410 -191.9647 67.5125 147.3775
215.8 0.9893 2.0600 1.3687 28.0100 -18.9817 54.3770
0.3349 0.4359 1.4419 1.4208 -304.5219 23.3218 -46.3548
1.055 0.0722 2.3856 1.3240 -46.1049 -10.8709 22.4390
3.02 0.6238 2.7205 1.4182 134.8522 -260.3378 499.5185
2.997 0.2788 2.4948 1.4426 -20.0705 -63.6844 70.3173
1.218 0.9063 2.0153 1.3756 -161.4247 148.7796 100.2983
126.3 0.8407 2.0155 1.5192 -21.0712 35.3618 39.4029
2.241 0.3488 1.6767 1.3155 53.8540 77.2644 49.5201
36.2 0.2941 2.0083 1.4907 28.0044 44.7396 -8.3985
66.51 0.9143 1.9883 1.5600 123.0700 29.5548 -55.2982
0.6699 0.4159 2.7852 1.3468 -74.1503 -116.6121 -82.4211
3.355 0.4199 2.1196 1.3326 -31.7646 2.0193 -20.6668
33.95 0.2746 2.1507 1.7033 7.2328 -27.2553 -66.1876
2.809 0.4574 2.9831 1.6656 14.1168 -339.2000 211.8073
0.6643 0.5476 1.6272 1.5760 14.9006 -27.5794 -716.0948
5.819 0.4940 1.6313 1.3285 -30.8684 -19.0452 8.0340
14.76 0.3869 1.9904 1.4304 -84.5549 9.7157 61.6227
5.795 0.4428 1.6212 1.3182 -52.2556 -10.4708 46.9262
19.84 0.1223 2.6151 1.6846 72.1952 -19.2118 -28.8473
3.545 0.3602 2.0348 1.3784 56.9771 6.9251 23.4099
115.7 0.8083 2.1422 1.6385 16.4705 79.8479 -18.1279
2.815 0.1618 2.6051 1.4383 -50.6491 -63.4732 33.7243
10.62 0.5766 2.4822 1.4844 -40.1182 -9.5735 6.5508
0.7411 0.3111 1.6242 1.3852 -45.0429 406.1651 -79.3864
13.03 0.4235 2.4478 1.5259 -5.8582 102.2674 13.2502
1.217 0.2213 2.3474 1.3093 -12.6577 -12.3150 -6.9885
37.01 0.0227 2.4499 1.7291 -85.0363 154.7549 -7.2456
65.99 0.7234 2.0410 1.5378 54.7035 -151.7614 94.8008
1.325 0.7248 2.5312 1.3645 -229.1769 -165.5384 99.4896
34.71 0.9816 2.4476 1.5702 -98.2203 231.4594 -92.5812
3.146 0.5234 2.4062 1.4234 -94.3977 72.4008 66.3485
2.221 0.1125 2.0776 1.3790 6.6233 63.9559 -64.0649
24.57 0.9006 2.7087 1.8616 67.8213 -40.7133 76.7488
2.057 0.3521 2.6577 1.3186 53.1045 33.0130 -0.6842
0.4982 0.1390 2.6812 1.3107 -60.0670 -63.6046 -47.7789
43.95 0.9546 2.5498 1.4405 105.7818 -110.9678 -226.9984
3.603 0.1903 2.8395 1.3124 32.2143 -9.5360 -12.1874
37.18 0.4113 1.9050 1.4154 -42.0777 11.3659 10.9760
1.306 0.0720 2.7303 1.4326 -49.2249 -82.4540 -81.9471
1.756 0.6252 2.8584 1.3267 134.0132 25.9153 77.1493
71.96 0.9826 1.6952 1.3336 -19.2352 -4.9564 337.6178
0.08386 0.1329 1.3773 1.3468 -169.3768 95.8966 13.7209
11.32 0.6698 1.9830 1.4206 -0.5066 10.6175 110.5274
144.9 0.9778 2.4800 1.4257 40.4009 -73.5121 87.4579
14.72 0.8635 2.6320 1.4359 17.8316 -17.4045 -13.4216
3.857 0.4709 2.4822 1.4362 -11.3538 -53.6022 -17.3591
137.1 0.1331 2.4617 1.5679 24.7116 4.7045 -23.6619
101.9 0.5249 1.8678 2.0638 -20.7114 -1.8294 -54.2320
296.9 0.9281 2.0430 1.5057 -45.1563 35.3701 -53.2799
9.441 0.7246 2.6692 1.4584 -37.9223 8.8350 46.4953
24.14 0.2664 2.1630 1.5732 25.5422 -67.9114 -5.1420
0.3519 0.0954 2.6674 1.3603 90.7803 59.0717 -62.7536
14.12 0.9066 1.9838 1.5607 -67.6418 38.5598 104.6816
295.8 0.9433 1.9771 1.5858 70.5743 -47.4103 -0.5540
19.66 0.2397 2.6523 1.8545 -40.4944 73.6524 -56.2619
1.482 0.5077 2.0066 1.3782 -29.7657 8.4944 -136.0799
5.558 0.3740 2.7988 1.7517 138.9438 -120.9917 -58.1227
7.122 0.5895 2.5547 1.4405 0.3676 -61.7099 -44.1477
16.23 0.5329 2.2826 1.6042 -89.2467 -94.0648 38.6898
67.31 0.6641 2.1251 1.8157 47.7084 -6.3713 -19.7934
4.296 0.4337 1.3828 1.8037 62.1666 -67.4883 -44.9669
6.802 0.4505 2.3334 1.5556 97.2797 121.1452 17.1542
0.5997 0.1055 1.5783 1.3001 111.0726 -52.2821 -21.6886
0.5882 0.5068 2.5473 1.3213 -55.3625 -233.8874 -163.0014
0.1798 0.1538 2.8511 1.3089 -59.6471 39.3041 -1.2801
13.77 0.6493 1.6822 1.3356 -46.2771 -65.6861 36.0694
4.868 0.3070 1.6318 1.3340 178.0723 -11.8556 23.4980
1903 0.9779 2.6753 1.8596 35.4344 68.3451 -30.1682
17.48 0.6175 2.0256 1.5499 -65.0472 -51.6565 -50.4112
0.08561 0.5344 1.3944 1.3783 203.0870 296.9777 -219.0132
0.7744 0.7040 1.6169 1.4033 -270.0207 -537.2473 -4.7567
16.21 0.8378 2.0552 1.5822 12.8167 89.4777 88.8346
1.866 0.2902 1.6345 1.3057 34.6343 81.7740 40.5477
0.5503 0.4566 2.5904 1.3446 -118.8305 48.1867 143.7548
13.01 0.6841 2.5199 1.3818 -200.6388 126.8592 112.3293
3.282 0.2312 2.5347 1.3105 24.7906 27.8480 -35.0111
9.122 0.7268 2.7034 1.5686 -34.2464 -42.9605 11.2704
248.5 0.9056 2.9337 2.2015 36.2364 -23.4957 -37.3519
29.73 0.1429 2.3992 1.6969 -3.7480 39.7126 48.7658
20.8 0.8339 2.4364 1.4436 43.9362 -84.2085 34.8227
2.334 0.3799 2.6486 1.4198 -65.5891 -71.4494 -30.8724
122 0.8790 1.9852 1.6173 36.3127 72.6528 -78.0454
7.131 0.5400 2.9081 1.9335 101.5539 -163.3246 -137.1799
7.373 0.6565 2.6640 1.5079 48.8472 59.3271 74.1188
28.06 0.9898 1.6597 1.3641 218.3755 -53.3726 -37.6906
393 0.3521 2.6209 2.5160 -0.9642 -31.7441 64.3893
0.5614 0.2767 2.6005 1.3104 -1.0075 6.6879 66.7556
23.15 0.2357 1.9172 1.4250 -46.7333 -17.9593 -34.2621
0.1426 0.4767 1.5937 1.3222 -291.8975 78.4592 -102.6963
5.406 0.3772 1.8361 1.3865 -58.3344 -1.6843 -24.1569
12.73 0.8012 1.9078 1.4272 -64.7115 -64.9027 -62.2365
0.7469 0.2795 2.7622 1.3139 15.5292 -24.9198 -28.9626
15.14 0.9485 2.5800 1.3750 -29.3803 -205.7210 259.1655
6.551 0.5601 2.5010 1.4402 -24.8492 59.8737 -24.1052
2.583 0.4584 2.2013 1.3474 8.2187 -33.5290 19.0023
538.1 0.8145 1.8170 1.8275 -21.3403 41.6736 -19.4010
44.24 0.1180 2.3231 1.8931 -110.0536 -1.0757 -95.3666
1.205 0.2397 2.9143 1.3073 -16.1111 7.6387 -5.3993
1.434 0.6720 2.6214 1.4370 163.5152 -152.6016 -20.5776
8.008 0.6380 2.5893 1.3819 -2.7841 -46.0876 -15.0598
69.54 0.9141 2.6847 1.7970 -77.5707 -62.2915 49.5483
27.88 0.2774 2.0740 1.5058 41.4466 47.6776 -37.0189
31.02 0.5783 2.1822 1.5150 34.6405 -107.1335 -26.4143
23.16 0.6105 2.9440 1.8443 -131.8832 7.7417 57.3008
13.41 0.7175 1.8952 1.4151 93.5553 -5.7781 35.1317
43.71 0.1363 2.4993 1.8195 65.5998 24.2068 -13.4750
5.085 0.4104 2.3445 1.3796 69.0045 25.4631 30.9922
10.68 0.2940 1.7116 1.7017 177.6148 180.5353 51.5817
6.129 0.2554 2.3079 1.4226 6.4746 24.9825 -68.8359
